id,price,sqft,bedrooms,bathrooms,listing_tags,furnishing,tenure,district,landed_vs_high_rise,pool,fitness,balcony
3680,397888.0,2799.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3681,665000.0,1535.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,False,False
3682,490000.0,1367.0,3.0,2.0,Townhouse,Partially Furnished,Leasehold,Sepang,high-rise,False,False,True
3683,960000.0,2500.0,4.0,3.0,2.5-storey Terraced House,Partially Furnished,Freehold,Ampang,landed,False,False,True
3684,1100000.0,1870.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Klang,landed,False,False,False
3685,188000.0,500.0,2.0,1.0,Condominium,Fully Furnished,Freehold,Cyberjaya,high-rise,True,True,True
3686,760000.0,2598.0,5.0,5.0,Condominium,Partially Furnished,Leasehold,Puchong,high-rise,True,True,True
3687,2550000.0,13185.0,4.0,5.0,Bungalow House,Unfurnished,Freehold,Bangi,landed,False,False,False
3688,750000.0,2500.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Subang Jaya,landed,False,False,False
3689,2350000.0,2639.0,5.0,5.0,Semi-Detached House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3690,785000.0,1910.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,False,False
3691,630000.0,1200.0,4.0,3.0,Condominium,Partially Furnished,Freehold,Kajang,high-rise,True,True,True
3692,1700000.0,6000.0,5.0,5.0,Bungalow House,Unfurnished,Freehold,Sungai Buloh,landed,False,False,False
3693,188000.0,555.0,2.0,2.0,Condominium,Partially Furnished,Freehold,Sepang,high-rise,True,True,True
3694,997800.0,2300.0,4.0,4.0,2-storey Terraced House,Unfurnished,Leasehold,Damansara,landed,True,True,False
3695,800000.0,2500.0,5.0,3.0,2-storey Terraced House,Partially Furnished,Leasehold,Kajang,landed,False,False,False
3696,623000.0,1862.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Rawang,landed,True,True,True
3697,250000.0,635.0,2.0,1.0,Apartment,Unfurnished,Freehold,Sepang,high-rise,True,True,False
3698,1700000.0,4168.0,7.0,8.0,Semi-Detached House,Unfurnished,Freehold,Cheras,landed,False,False,True
3699,6100000.0,8600.0,7.0,7.0,Bungalow House,Fully Furnished,Leasehold,Damansara,landed,True,True,True
3700,170000.0,1000.0,3.0,2.0,Condominium,Fully Furnished,Freehold,Sepang,high-rise,True,True,True
3701,1700000.0,4898.0,6.0,5.0,Bungalow House,Unfurnished,Freehold,Semenyih,landed,True,True,True
3703,357999.0,2971.0,4.0,4.0,2-storey Terraced House,Unfurnished,Bumi Lot,Seri Kembangan,landed,False,False,False
3704,435899.0,3056.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3705,2300000.0,11118.0,5.0,7.0,Bungalow House,Partially Furnished,Freehold,Shah Alam,landed,False,False,False
3706,392000.0,2876.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3707,3000000.0,5700.0,5.0,6.0,Semi-Detached House,Unfurnished,Freehold,Subang Jaya,landed,True,True,False
3708,412600.0,2666.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Bangi,landed,True,True,True
3709,537000.0,1760.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,False,False
