id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,furnishing,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
2919,1800000.0,[ 3 STOREY SEMI-D ] KOTA KEMUNING,4660.0,7.0,7.0,"Kota Kemuning, Shah Alam, Selangor",Semi-Detached House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/3-storey-semi-d-kota-kemuning-for-sale-by-alice-35619536, Selangor,False,False,False,14.403297778421795,6.002379767303969,landed,petaling
2920,389000.0,Cyberjaya ! ! Cyberjaya ! ! Cyberjaya ! ! Double Storey,3200.0,4.0,4.0,"Double Storey Semi D Concept, Cyberjaya, Selangor",2-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/cyberjaya-cyberjaya-cyberjaya-double-storey-for-sale-by-amy-lim-34644471, Selangor,False,False,False,12.871337193291367,5.817754604448212,landed,sepang
2921,450000.0,Dwitara Residences Tower 2 @ Surya PJ South,847.0,3.0,2.0,"Jalan Sri Manja, PJS 3, Petaling Jaya, Selangor",Condominium,Partially Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/dwitara-residences-tower-2-surya-pj-south-for-sale-by-lennard-lim-36363809#contact-agent, Selangor,True,True,False,13.017005083966255,5.114776533086127,high-rise,petaling
2923,460000.0,Cyberjaya Cyberjaya Cyberjaya,1600.0,4.0,3.0,"Cyberjaya, Selangor",2-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/cyberjaya-cyberjaya-cyberjaya-for-sale-by-jun-kc-yee-34421480, Selangor,False,False,False,13.038983942375959,5.461210671157304,landed,sepang
2924,9000000.0,TAR Villas,10700.0,6.0,7.0,"13 Jalan 4k, Ampang Jaya, Ampang, Selangor",Bungalow House,Fully Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/tar-villas-for-sale-by-bilya-ariff-35693917#contact-agent, Selangor,True,False,False,16.012735246411598,6.39007427623701,landed,gombak
2925,480000.0,New Condo [2 Carpark + Furnished] & [100% Resident + Low Density] Brand Developer,1233.0,3.0,3.0,"Bandar Sunway, Subang Jaya, Selangor",Condominium,Fully Furnished,Freehold,https://www.propertyguru.com.my/property-listing/new-condo-2-carpark-furnished-100-resident-low-density-brand-developer-for-sale-by-jasmine-ooi-34697515, Selangor,True,True,True,13.081543466215237,5.321587905737683,high-rise,petaling
2926,760000.0,SEMI D DESA PINGGIRAN PUTRA KAJANG,3300.0,6.0,4.0,"jalan pinggiran putra, Kajang, Selangor",Semi-Detached House,Partially Furnished,Malay Reserved Land,https://www.propertyguru.com.my/property-listing/semi-d-desa-pinggiran-putra-kajang-for-sale-by-jan-mohd-36050828#contact-agent, Selangor,False,False,False,13.541075028051122,5.833095200073643,landed,hulu langat
2927,2800000.0,NEW 3 Storey Semi-D with LIFT in KGSAAS Seksyen 13,4192.0,6.0,6.0,"Seksyen 13, Shah Alam, Selangor",3-storey Terraced House,Unfurnished,Leasehold,https://www.propertyguru.com.my/property-listing/new-3-storey-semi-d-with-lift-in-kgsaas-seksyen-13-for-sale-by-nur-amita-tahir-35879304, Selangor,False,False,False,14.845130332288226,5.95099504315611,landed,petaling
2928,2405800.0,Aetas Damansara,2572.0,3.0,4.0,"Persiaran Tropicana, Tropicana, Petaling Jaya, Selangor",Apartment,Partially Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/aetas-damansara-for-sale-by-fateh-al-35962501#contact-agent, Selangor,True,True,False,14.693393462204172,5.707665997250717,high-rise,petaling
2929,399000.0,Aman Heights,1268.0,4.0,2.0,"Jalan Bersatu, Section 5, Taman Bukit Serdang, Seri Kembangan, Selangor",Condominium,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/aman-heights-for-sale-by-gg-wong-21835334#contact-agent, Selangor,True,True,True,12.896719202134523,5.336737828049316,high-rise,petaling
