id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
1411,2799000.0,Latania @ Twin Palms Sungai Long,5871.0,5.0,5.0,"Jalan Palma Utama, Bandar Sungai Long, Kajang, Selangor",Bungalow House,Freehold,https://www.propertyguru.com.my/property-listing/latania-twin-palms-sungai-long-for-sale-by-klose-wong-35408787, Selangor,True,True,True,14.844773125767981,6.917732719469283,landed,hulu langat
1412,344999.0,Starville,850.0,3.0,2.0,"Jalan USJ 19/6, USJ 19, Subang Jaya, Selangor",Apartment,Freehold,https://www.propertyguru.com.my/property-listing/starville-for-sale-by-michael-lee-36346222, Selangor,False,False,False,12.751299696013497,5.646529153847161,high-rise,petaling
1413,499000.0,Taman Selayang Mutiara,1400.0,4.0,2.0,"Jalan Mutiara 4/5 Taman Selayang Mutiara, Selayang, Gombak, Selangor",Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-selayang-mutiara-for-sale-by-nadia-rahim-36125764, Selangor,False,False,False,13.120363378739663,5.987658752651155,landed,gombak
1414,1580000.0,Peridot Hilltop Residence,6400.0,6.0,6.0,"Jln KE 3/3, Kota Emerald, Rawang, Selangor",Bungalow House,Freehold,https://www.propertyguru.com.my/property-listing/peridot-hilltop-residence-for-sale-by-tom-yip-36357950#contact-agent, Selangor,False,False,True,14.272936037914342,6.9714264041983895,landed,gombak
1415,413000.0,Cheras South New Freehold Condo,900.0,4.0,2.0,"Cheras, Selangor",Condominium,Freehold,https://www.propertyguru.com.my/property-listing/cheras-south-new-freehold-condo-for-sale-by-raymond-heng-36347102#contact-agent, Selangor,False,False,True,12.931205293247745,5.68607589509119,high-rise,hulu langat
1416,1190000.0,Pool Villas @ Nusaputra,4300.0,4.0,4.0,"Jalan Nusa Putra 1/2e, Puchong South, Puchong, Selangor",3-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/pool-villas-nusaputra-for-sale-by-evan-goh-31401761#contact-agent, Selangor,True,False,True,13.989464705423494,6.721811560878281,landed,sepang
1417,1380000.0,"Lakeside Residences, Bandar Kinrara",2200.0,5.0,4.0,"Lakeside Residences, Bandar Metro Puchong, Bandar Kinrara, Puchong, Selangor",2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/lakeside-residences-bandar-kinrara-for-sale-by-john-lee-36364204, Selangor,True,True,False,14.137594781770806,6.288764623116444,landed,sepang
1418,668000.0,Value Buy Bandar Mahkota Cheras,1500.0,4.0,3.0,"Bandar Mahkota Cheras, Cheras, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/value-buy-bandar-mahkota-cheras-for-sale-by-happy-wong-34283912, Selangor,False,False,False,13.41204494952365,6.034100759306993,landed,hulu langat
1419,200000.0,Monthly RM900【2R1B Soho Unit】Olympic Size Swimming Pool,500.0,2.0,1.0,"Cyberjaya, Sepang, Selangor",Condominium,Freehold,https://www.propertyguru.com.my/property-listing/monthly-rm900-2r1b-soho-unit-olympic-size-swimming-pool-for-sale-by-rayne-ng-35865249#contact-agent, Selangor,True,True,False,12.206077645517674,5.273471165580484,high-rise,sepang
1420,1980000.0,Rafflesia Residence,3783.0,6.0,6.0,"Jalan SL 16, Bandar Sungai Long, Kajang, Selangor",Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/rafflesia-residence-for-sale-by-shanny-tan-35010595, Selangor,False,False,True,14.498607907721096,6.640251888357098,landed,hulu langat
1421,498000.0,Metropolitan Square,1096.0,3.0,2.0,"Jalan PJU 8/1, Damansara Perdana, Damansara, Selangor",Condominium,Leasehold,https://www.propertyguru.com.my/property-listing/metropolitan-square-for-sale-by-ben-mok-32744273#contact-agent, Selangor,True,True,True,13.118357364036902,5.8214570822379175,high-rise,petaling
1422,2380000.0,"Taman Bukit Meringin, Kajang",5005.0,5.0,6.0,"Taman Bukit Meringin, Country Heights, Kajang, Selangor",Bungalow House,Freehold,https://www.propertyguru.com.my/property-listing/taman-bukit-meringin-kajang-for-sale-by-ls-chu-33006928, Selangor,False,False,False,14.682611465815636,6.8177439186821,landed,hulu langat
1423,1180000.0,"D'Premier 1, Bandar Damai Perdana",2600.0,5.0,5.0,"Jalan Damai Perdana 13/1H, Bandar Damai Perdana, Kajang, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/d-premier-1-bandar-damai-perdana-for-sale-by-christopher-saw-36351443, Selangor,False,False,False,13.981025843899115,6.398193807948788,landed,hulu langat
1425,1800000.0,Beverly Heights,3400.0,4.0,5.0,"1 Jalan Beverly Heights, Ampang Jaya, Ampang, Selangor",Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/beverly-heights-for-sale-by-liza-khalid-36151637, Selangor,True,True,False,14.403297778421795,6.571854123623474,landed,gombak
1426,738000.0,2022 Damansara New Condo 【Modern Big Layout 1200sf-1400sf】Easy Loan Approval ! ( Last 30units Only),1400.0,4.0,2.0,"Damansara Uptown, Damansara, Selangor",Condominium,Freehold,https://www.propertyguru.com.my/property-listing/2022-damansara-new-condo-modern-big-layout-1200sf-1400sf-easy-loan-approval-last-30units-only-for-sale-by-norman-34903579, Selangor,True,True,True,13.511700458595241,5.987658752651155,high-rise,petaling
1427,700000.0,Ampang,1700.0,4.0,2.0,"Taman Melur, Ampang, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/ampang-for-sale-by-hanifah-sjahli-36133485#contact-agent, Selangor,False,False,False,13.45883704259595,6.117909866926224,landed,gombak
1428,699000.0,"Putra Heights, Putra Permai, Subang Jaya",1800.0,4.0,3.0,"Putra Heights, Subang Jaya, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/putra-heights-putra-permai-subang-jaya-for-sale-by-catherine-tan-31694113, Selangor,False,False,False,13.457407451830088,6.155993767180767,landed,petaling
1429,470000.0,Embayu @ Damansara West,1000.0,3.0,2.0,"Persiaran Kosmos, Shah Alam, Selangor",Condominium,Leasehold,https://www.propertyguru.com.my/property-listing/embayu-damansara-west-for-sale-by-chen-kar-mun-35560100#contact-agent, Selangor,True,True,False,13.060490101343552,5.758651359970114,high-rise,petaling
1430,400000.0,Ritze 2 Fully Furnished for sale,750.0,1.0,1.0,"Damansara Perdana, Damansara, Selangor",Condominium,Leasehold,https://www.propertyguru.com.my/property-listing/ritze-2-fully-furnished-for-sale-for-sale-by-merlissa-wong-36216063, Selangor,False,False,False,12.899222326086994,5.559500853942003,high-rise,petaling
