id,price,listing_title,sqft,bedrooms,bathrooms,address,price_per_sqft,listing_tags,furnishing,tenure,floor_size_det,url,state,district,pool,fitness,balcony
822,440000.0,Semenyih Parklands,1920.0,4.0,4.0,"Jalan Semenyih, Semenyih, Selangor",229.17,2-storey Terraced House,Partially Furnished,Freehold,1920.0,https://www.propertyguru.com.my/property-listing/semenyih-parklands-for-sale-by-adam-baharum-36381806#contact-agent, Selangor,Semenyih,False,False,False
823,568000.0,【Mountain View with Semi D Concept Condo】Monthly RM2100 Only with Oct Rebate,1200.0,3.0,2.0,"Damansara Perdana, Damansara, Selangor",473.33,Condominium,Fully Furnished,Freehold,1200.0,https://www.propertyguru.com.my/property-listing/mountain-view-with-semi-d-concept-condo-monthly-rm2100-only-with-oct-rebate-for-sale-by-cassandra-chung-36004389, Selangor,Damansara,True,True,True
824,760000.0,Taman Riana Ukay,1800.0,4.0,3.0,"Ampang, Selangor",422.22,2-storey Terraced House,Partially Furnished,Leasehold,1800.0,https://www.propertyguru.com.my/property-listing/taman-riana-ukay-for-sale-by-mohd-rasydan-35541723, Selangor,Ampang,False,False,False
825,1199000.0,Tenderfields @ Eco Majestic,3196.0,4.0,6.0,"No. 1, Lingkaran Eco Majestic, Eco Majestic, Semenyih, Selangor",375.16,Cluster House,Unfurnished,Freehold,3196.0,https://www.propertyguru.com.my/property-listing/tenderfields-eco-majestic-for-sale-by-ck-law-35137188, Selangor,Semenyih,False,False,False
826,550000.0,Taman Jenderam Murni,2070.0,5.0,4.0,"Dengkil, Sepang, Selangor",265.7,1-storey Terraced House,Unfurnished,Leasehold,2070.0,https://www.propertyguru.com.my/property-listing/taman-jenderam-murni-for-sale-by-azli-ibrahim-35870469, Selangor,Sepang,False,False,False
827,412578.0,BANGI ! !! 2-STOREY (20X70 Facing Garden) Freehold 0%D/P LIMITED UNIT! !!,2298.0,4.0,4.0,"Bangi, Selangor",179.54,2-storey Terraced House,Partially Furnished,Freehold,2298.0,https://www.propertyguru.com.my/property-listing/bangi-2-storey-20x70-facing-garden-freehold-0-d-p-limited-unit-for-sale-by-serena-ang-33925253#contact-agent, Selangor,Bangi,False,False,False
828,490000.0,Taman Menara Maju,1850.0,4.0,2.0,"Klang, Selangor",264.86,2-storey Terraced House,Unfurnished,Freehold,1850.0,https://www.propertyguru.com.my/property-listing/taman-menara-maju-for-sale-by-azli-ibrahim-35921926#contact-agent, Selangor,Klang,False,False,False
829,3700000.0,"Eco Friendly Green Luxury Bungalow @ Taman Equine, Seri Kembangan",9533.0,6.0,8.0,"Seri Kembangan, Selangor",388.13,Bungalow House,Partially Furnished,Leasehold,7000.0,https://www.propertyguru.com.my/property-listing/eco-friendly-green-luxury-bungalow-taman-equine-seri-kembangan-for-sale-by-grace-tan-35228548, Selangor,Seri Kembangan,False,False,False
830,1600000.0,"Capa Residency, Bandar Sungai Long",4200.0,4.0,6.0,"Jalan SL16, Bandar Sungai Long, Kajang, Selangor",380.95,Semi-Detached House,Partially Furnished,Freehold,4200.0,https://www.propertyguru.com.my/property-listing/capa-residency-bandar-sungai-long-for-sale-by-shanny-tan-34208437, Selangor,Kajang,False,False,False
831,988888.0,MCO PROMO 22x80 NEW Double Storey Superlink Ampang Jaya Nr KL City,3077.0,4.0,4.0,"Ampang Jaya, Ampang, Selangor",321.38,2-storey Terraced House,Unfurnished,Freehold,3077.0,https://www.propertyguru.com.my/property-listing/mco-promo-22x80-new-double-storey-superlink-ampang-jaya-nr-kl-city-for-sale-by-tz-chew-32015710, Selangor,Ampang,True,True,False
832,860000.0,Freehold Damansara | Ready Soon | RM568psf | 2 carpark available,1600.0,4.0,3.0,"Mutiara Damansara, Damansara, Selangor",537.5,Condominium,Partially Furnished,Freehold,1600.0,https://www.propertyguru.com.my/property-listing/freehold-damansara-ready-soon-rm568psf-2-carpark-available-for-sale-by-joey-lim-36226872, Selangor,Damansara,True,True,True
833,2500000.0,Tropika Kemensah,3600.0,5.0,3.0,"Jln Tiara Kemensah 3, Ampang, Selangor",694.44,Semi-Detached House,Partially Furnished,Freehold,3600.0,https://www.propertyguru.com.my/property-listing/tropika-kemensah-for-sale-by-mohd-rasydan-33050748, Selangor,Ampang,False,False,True
834,850000.0,Rawang Aeon- 2 storey Freehold - 0% Downpayment l Complete soon,1878.0,4.0,3.0,"Kota Emerald, Rawang, Selangor",452.61,2-storey Terraced House,Unfurnished,Freehold,1878.0,https://www.propertyguru.com.my/property-listing/rawang-aeon-2-storey-freehold-0-downpayment-l-complete-soon-for-sale-by-dickson-wong-30899782, Selangor,Rawang,True,False,True
835,290000.0,【299K 3R2B 1000sqft】15K Cash back & Partially furnished - bangi,1010.0,3.0,2.0,"Cyberjaya, Sepang, Bangi, Kuala Lumpur, Bandar Baru Bangi, Bangi, Selangor",287.13,Condominium,Partially Furnished,Freehold,1010.0,https://www.propertyguru.com.my/property-listing/299k-3r2b-1000sqft-15k-cash-back-partially-furnished-bangi-for-sale-by-ava-33352214#contact-agent, Selangor,Bangi,True,True,True
836,1100000.0,[NEW SEMI-D VILLA] KOTA KEMUNING,2500.0,4.0,4.0,"Kota Kemuning, Shah Alam, Selangor",440.0,Semi-Detached House,Unfurnished,Freehold,2500.0,https://www.propertyguru.com.my/property-listing/new-semi-d-villa-kota-kemuning-for-sale-by-jayden-chan-35574438, Selangor,Shah Alam,False,False,False
837,6000000.0,Bukit Jelutong Shah Alam,10000.0,8.0,8.0,"Bukit Jelutong, Shah Alam, Selangor",600.0,Bungalow House,Partially Furnished,Freehold,8000.0,https://www.propertyguru.com.my/property-listing/bukit-jelutong-shah-alam-for-sale-by-shahrul-hafizi-36200148#contact-agent, Selangor,Shah Alam,False,False,False
838,2200000.0,Bandar Tasik kesuma,11313.0,7.0,4.0,"Beranang, Selangor",194.47,Bungalow House,Fully Furnished,Freehold,6800.0,https://www.propertyguru.com.my/property-listing/bandar-tasik-kesuma-for-sale-by-adib-aziz-35728186#contact-agent, Selangor,Beranang,False,False,False
839,2400000.0,Broadleaf Residences,4654.0,6.0,8.0,"Taman Alam Kemuning, Seksyen 31, Shah Alam, Selangor",515.69,Semi-Detached House,Unfurnished,Leasehold,4654.0,https://www.propertyguru.com.my/property-listing/broadleaf-residences-for-sale-by-mark-lee-36063170#contact-agent, Selangor,Shah Alam,True,True,False
840,2288000.0,4 1/2 Storey Link Luxury Villa @ PJ Bandar Utama,3800.0,5.0,5.0,"Bandar Utama, Petaling Jaya, Selangor",602.11,Twin Villa,Fully Furnished,Leasehold,3800.0,https://www.propertyguru.com.my/property-listing/4-1-2-storey-link-luxury-villa-pj-bandar-utama-for-sale-by-hebee-ng-36012992#contact-agent, Selangor,Petaling Jaya,True,False,False
841,399000.0,i-SOHO @ i-City,680.0,2.0,1.0,"i-City Jalan Plumbum 7/102, Shah Alam, Selangor",586.76,Service Residence,Fully Furnished,Freehold,680.0,https://www.propertyguru.com.my/property-listing/i-soho-i-city-for-sale-by-max-lim-32680765, Selangor,Shah Alam,True,True,False
842,200000.0,Laguna Biru,850.0,3.0,2.0,"Jalan Tasik Biru 1 Off Jalan Setia, Kundang, Rawan, Rawang, Selangor",235.29,Apartment,Partially Furnished,Leasehold,850.0,https://www.propertyguru.com.my/property-listing/laguna-biru-for-sale-by-fauran-nawawi-35748982#contact-agent, Selangor,Rawang,False,False,False
843,599000.0,"The Atera, Petaling Jaya",770.0,2.0,2.0,"Petaling Jaya, Selangor",777.92,Service Residence,Partially Furnished,Leasehold,770.0,https://www.propertyguru.com.my/property-listing/the-atera-petaling-jaya-for-sale-by-jack-yong-35737386#contact-agent, Selangor,Petaling Jaya,True,True,False
844,300000.0,bangi avenue,1088.0,3.0,3.0,"jalan bangi avenue, Bangi Lama, Bangi, Selangor",275.74,Condominium,Fully Furnished,Freehold,1088.0,https://www.propertyguru.com.my/property-listing/bangi-avenue-for-sale-by-albee-chua-35084944, Selangor,Bangi,True,True,True
845,259000.0,Rm259k studio freehold 0% downpayment,400.0,1.0,1.0,"Nilai, Selangor",647.5,Condominium,Fully Furnished,Freehold,400.0,https://www.propertyguru.com.my/property-listing/rm259k-studio-freehold-0-downpayment-for-sale-by-keina-hew-35692108#contact-agent, Selangor,Nilai,True,True,True
846,850000.0,Tenderfields @ Eco Majestic,2396.0,4.0,5.0,"No. 1, Lingkaran Eco Majestic, Eco Majestic, Semenyih, Selangor",354.76,Cluster House,Unfurnished,Freehold,2396.0,https://www.propertyguru.com.my/property-listing/tenderfields-eco-majestic-for-sale-by-ck-law-35190572#contact-agent, Selangor,Semenyih,False,False,False
847,2200000.0,Sunway Rydgeway,5900.0,6.0,6.0,"Ampang Jaya, Ampang, Selangor",372.88,Bungalow House,Partially Furnished,Leasehold,5600.0,https://www.propertyguru.com.my/property-listing/sunway-rydgeway-for-sale-by-rashid-sukri-36383005#contact-agent, Selangor,Ampang,True,False,True
848,382088.0,"Klang, Klang",2896.0,4.0,4.0,"Klang, Selangor",131.94,2-storey Terraced House,Unfurnished,Freehold,2896.0,https://www.propertyguru.com.my/property-listing/klang-klang-for-sale-by-edwin-thang-35524835#contact-agent, Selangor,Klang,False,False,False
849,1280000.0,Seri Sungai Long,2000.0,4.0,3.0,"11 Jalan Pahlawan 38/3 Taman Seri Sungai Long, Bandar Mahkota Cheras, Cheras, Selangor",640.0,Terraced House,Partially Furnished,Freehold,2000.0,https://www.propertyguru.com.my/property-listing/seri-sungai-long-for-sale-by-shanny-tan-33118904#contact-agent, Selangor,Cheras,False,False,True
850,330000.0,"SINGLE STOREY SEKSYEN 17, JALAN JELAWAT, SHAH ALAM",1400.0,2.0,1.0,"Jalan Bawal Sembilan 17/3J, Seksyen 17,, Shah Alam, Selangor",235.71,1-storey Terraced House,Unfurnished,Leasehold,1400.0,https://www.propertyguru.com.my/property-listing/single-storey-seksyen-17-jalan-jelawat-shah-alam-for-sale-by-firdaus-basiran-36247077, Selangor,Shah Alam,False,False,False
851,433745.0,Shah Alam Semi-D Concept,2550.0,4.0,3.0,"Bukit Jelutong, Shah Alam, Selangor",170.1,2-storey Terraced House,Partially Furnished,Freehold,2550.0,https://www.propertyguru.com.my/property-listing/shah-alam-semi-d-concept-for-sale-by-wendy-ong-36075126#contact-agent, Selangor,Shah Alam,False,False,False
852,428000.0,Saujana Puchong,1300.0,4.0,3.0,"Jalan Sp, Puchong, Selangor",329.23,2-storey Terraced House,Partially Furnished,Leasehold,1300.0,https://www.propertyguru.com.my/property-listing/saujana-puchong-for-sale-by-wendy-chin-34063301, Selangor,Puchong,False,False,False
853,119000.0,Flat Taming Jaya Blok BB,667.0,3.0,1.0,"Taman Taming Kiri 4, Balakong, Seri Kembangan, Selangor",178.41,Flat,Unfurnished,Freehold,667.0,https://www.propertyguru.com.my/property-listing/flat-taming-jaya-blok-bb-for-sale-by-syazmi-ramli-36350604#contact-agent, Selangor,Seri Kembangan,False,False,False
854,800000.0,BK5,1540.0,4.0,3.0,"Jalan BK 5/8, Bandar Kinrara, Puchong, Selangor",519.48,2-storey Terraced House,Partially Furnished,Freehold,1540.0,https://www.propertyguru.com.my/property-listing/bk5-for-sale-by-jeff-siow-35007826#contact-agent, Selangor,Puchong,False,False,False
855,2000000.0,Sunway Rydgeway,5699.0,5.0,6.0,"Ampang Jaya, Ampang, Selangor",350.94,Bungalow House,Partially Furnished,Leasehold,5600.0,https://www.propertyguru.com.my/property-listing/sunway-rydgeway-for-sale-by-rashid-sukri-36188420#contact-agent, Selangor,Ampang,True,False,True
856,180000.0,Sinar Apartment,800.0,3.0,2.0,"Taman Salak Perdana, Sepang, Selangor",225.0,Apartment,Partially Furnished,Freehold,800.0,https://www.propertyguru.com.my/property-listing/sinar-apartment-for-sale-by-adam-baharum-36381533, Selangor,Sepang,False,False,True
